symbol1,symbol2,company_name1,company_name2,sector1,sector2,subsector1,subsector2,segment1,segment2,correlation_group,same_subsector,correlation,n_obs,classification_version
GGBR3,USIM3,GERDAU,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.4756834931837772,5519,initial macro-sector classification
BRAP3,GOAU3,BRADESPAR,METALURGICA GERDAU,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Holdings,Within-sector,False,0.4744450571215731,5463,initial macro-sector classification
CPLE3,ELET3,COPEL,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.4671624241488365,6753,initial macro-sector classification
GOAU3,VALE3,METALURGICA GERDAU,VALE,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,Holdings,Minerals,Within-sector,False,0.4663349483820939,5837,initial macro-sector classification
ITSA3,ITSA4,ITAUSA,ITAUSA,Financials,Financials,Financial Services,Financial Services,Holdings,Holdings,Within-sector,True,0.4660240477129514,5710,initial macro-sector classification
ELET6,SBSP3,ELETROBRAS,SABESP,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Transmission,Water and Sanitation,Within-sector,False,0.4610779548359944,6852,initial macro-sector classification
CCRO3,RENT3,CCR,LOCALIZA,Industrials,Industrials,Transportation,Transportation,Infrastructure,Rent a Car,Within-sector,True,0.4544789637185166,4937,initial macro-sector classification
CMIG3,SBSP3,CEMIG,SABESP,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.4523470195804032,6880,initial macro-sector classification
BRAP3,USIM5,BRADESPAR,USIMINAS,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.4503576305389991,6210,initial macro-sector classification
CMIG3,CPFE3,CEMIG,CPFL ENERGIA,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.4491358762912346,5264,initial macro-sector classification
ELET3,SBSP3,ELETROBRAS,SABESP,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Transmission,Water and Sanitation,Within-sector,False,0.4477218038082757,6852,initial macro-sector classification
CPFE3,ELET3,CPFL ENERGIA,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.4289618898925217,5230,initial macro-sector classification
GOAU4,USIM3,METALURGICA GERDAU,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Holdings,Steel,Within-sector,True,0.4280618242766665,6005,initial macro-sector classification
CPFE3,CPLE3,CPFL ENERGIA,COPEL,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.4266279214494495,5172,initial macro-sector classification
